Date,Hardware Identifier,What Failed,Description of Failure,Action Taken
12/1/2003 7:00,node 532,UNKNOWN,"CMC error",NONE,
12/1/2003 7:00,node 569,UNKNOWN,"CMC Error ",NONE,
12/1/2003 7:00,node 604,ELAN3,"possible bad elan error ",REPLACE,
12/1/2003 7:00,node 754,UNKNOWN,"CMC Error (part of the ELAN 4 test group)",NONE,
12/1/2003 7:00,node 875,DISK,"I/O err - err on sda ",REPLACE,
12/1/2003 7:00,node 877,DISK,"I/O err - err on sda ",REPLACE,
12/1/2003 7:00,node 879,DISK,"I/O err - err on sdb ",REPLACE,
12/2/2003 4:00,node 870,DISK,"I/O err - drive sda",REPLACE,
12/2/2003 15:00,dtemp storage 05,HSV,"73gig Drive Failue",REPLACE,
12/2/2003 15:00,dtemp storage 07,HSV,"73gig Drive failurw",REPLACE,
12/3/2003 13:00,node 321,CPU,"CMC Error ",REPLACE,
12/3/2003 7:00,node 872,DISK,"I/O error on Drive sdb",REPLACE,
12/3/2003 7:00,node 30,DISK,"I/O error on Drive sdb ",REPLACE,
12/3/2003 7:00,node 75,DIMM,"CMC Error ",REPLACE,
12/3/2003 7:00,node 521,CPU,"Rebooted itself ",REPLACE,
12/3/2003 7:00,node 712,DISK,"I/O Error on Drive sda",REPLACE,
12/4/2003 7:00,node 130,ELAN4,"ELAN4 Error ",REPLACE,
12/4/2003 9:00,node 0,DISK,"I/O Error on Drive sdg",REPLACE,
12/4/2003 9:00,node 3,DISK,"I/O Error on Drive sdi",REPLACE,
12/4/2003 9:00,node 27,DISK,"I/O Error on Drive sdg",REPLACE,
12/4/2003 9:00,node 279,DISK,"I/O error on Drive sdb",REPLACE,
12/4/2003 9:00,node 303,DIMM,"CMC Error ",NONE,
12/4/2003 9:00,node 456,DISK,"I/O Error on Drive sdh ",REPLACE,
12/4/2003 9:00,node 489,DISK,"I/O error on Drive sdc",REPLACE,
12/4/2003 9:00,node 537,DISK,"I/O Error on Drive sdg ",REPLACE,
12/4/2003 9:00,node 551,DISK,"I/O Error on Drive sde",REPLACE,
12/4/2003 9:00,node 764,DISK,"I/O error on Drive sda ",REPLACE,
12/5/2003 5:00,node 99,DISK,"I/O error on Drive sde",REPLACE,
12/5/2003 9:00,node 754,UNKNOWN,"CMC Error ",NONE,
12/5/2003 9:30,node 835,DIMM,"CMC Error ",NONE,
12/5/2003 10:00,node 871,DISK,"I/O error on Drive sda",REPLACE,
12/5/2003 10:30,node 89,ELAN4,"ELAN4 Error ",RESEAT,
12/5/2003 10:30,node 166,DISK,"I/O error on Drive sdg",REPLACE,
12/5/2003 10:30,node 288,ELAN4,"ELAN4 Error ",RESEAT,
12/5/2003 10:30,node 810,ELAN4,"ELAN4 Error ",RESEAT,
12/5/2003 10:30,node 934,DISK,"I/O error on drive sdc ",REPLACE,
12/5/2003 10:30,node 754,UNKNOWN,"CMC Error ",NONE,
12/8/2003 5:00,node 30,DISK,"I/O Error on Drive sdb",REPLACE,
12/8/2003 5:00,node 79,DISK,"I/O Error on Drive sdb ",REPLACE,
12/8/2003 8:00,node 102,DISK,"I/O error on Drive sdb",REPLACE,
12/8/2003 6:00,node 229,DIMM,"CMC Error ",NONE,
12/8/2003 9:00,node 230,DISK,"I/O error on Drive sdi",REPLACE,
12/8/2003 9:30,node 277,DIMM,"CMC Error ",NONE,
12/8/2003 10:30,node 435,DISK,"I/O error on Drive sdg",REPLACE,
12/8/2003 11:00,node 529,DISK,"I/O error on Drive sdh ",REPLACE,
12/8/2003 11:30,node 623,UNKNOWN,"CMC Error ",NONE,
12/8/2003 12:00,node 861,DISK,"I/O Error on Drive sdb",REPLACE,
12/8/2003 12:30,node 867,DISK,"I/O error on Drive sdb",REPLACE,
12/8/2003 13:00,node 880,DISK,"I/O error on Drive sdb",REPLACE,
12/8/2003 13:30,node 30,CNTLR,"Need to replace the DS2100 and external SCSI Cables",REPLACE,
12/8/2003 13:30,node 87,DISK,"I/O error on Drive sdg",REPLACE,
12/8/2003 13:30,node 147,DISK,"I/O Error on Drive sdi",REPLACE,
12/8/2003 16:13,node 444,DISK,"I/O Error on Drive sdb",REPLACE,
12/9/2003 16:00,node 3,DISK,"I/O on Drive sdg",REPLACE,
12/9/2003 16:00,node 50,DISK,"I/O on Drive sdg",REPLACE,
12/9/2003 16:00,node 87,DISK,"I/O error on Drive sdg",REPLACE,
12/10/2003 9:00,node 111,DISK,"I/O Error on Drive sdb",REPLACE,
12/10/2003 9:30,node 914,DISK,"I/O error on Drive sda",REPLACE,
12/10/2003 10:00,node 924,DISK,"I/O error on Drive sdb",REPLACE,
12/10/2003 10:30,dtemp storage 09,HSV,"73gig Drive failure",REPLACE,
12/10/2003 11:30,node 788,UNKNOWN,"CMC Error ",NONE,
12/12/2003 7:30,node 17,SCSI_BP,"I/O error across RAID ",REPLACE,
12/12/2003 8:30,node 46,DISK,"I/O error on Drive sdb",REPLACE,
12/12/2003 9:00,node 47,DISK,"I/O error on Drive sdh",REPLACE,
12/12/2003 9:30,node 51,DISK,"I/O error on drive sdi",REPLACE,
12/12/2003 10:00,node 51,SCSI_BP,"Multi I/O Errors ",REPLACE,
12/12/2003 11:00,node 71,DISK,"I/O Error on Drive sdf",REPLACE,
12/12/2003 12:00,node 188,DISK,"I/O Error on Drive sdi",REPLACE,
12/12/2003 12:30,node 191,DISK,"I/O error on Drive sdh",REPLACE,
12/12/2003 13:00,node 203,DISK,"I/O error on Drive sdb",REPLACE,
12/12/2003 13:30,node 204,DISK,"I/O Error on Drive sdb",REPLACE,
12/12/2003 14:00,node 224,DISK,"I/O Error on Drive sdg",REPLACE,
12/12/2003 14:30,node 238,DISK,"I/O Error on Drive sdb",REPLACE,
12/12/2003 15:00,node 328,DISK,"I/O Error on Drive sdi",REPLACE,
12/15/2003 3:30,node 372,UNKNOWN,"CMC Error ",NONE,
12/15/2003 3:30,node 404,DISK,"I/O error on Drive sdi",REPLACE,
12/15/2003 7:30,node 500,DISK,"I/O error on Drive sdd",REPLACE,
12/15/2003 7:30,node 516,DISK,"I/O Error on Drive sdh",REPLACE,
12/15/2003 8:30,node 521,CPU,"CMC Error ",REPLACE,
12/15/2003 9:30,node 522,CABLE,"I/O Error on drives sda adb adc ",REPLACE,
12/15/2003 10:00,node 624,CPU,"CMC Error ",REPLACE,
12/15/2003 11:00,node 717,CPU,"CMC Error ",REPLACE,
12/16/2003 5:00,node 747,DISK,"I/O Error on Drive sdc",REPLACE,
12/16/2003 5:00,node 786,UNKNOWN,"CMC Error ",NONE,
12/16/2003 5:00,node 861,DISK,"I/O Error on Drive sda",REPLACE,
12/16/2003 5:00,node 908,DISK,"I/O Error on Drive sdb ",REPLACE,
12/16/2003 5:00,node 919,DISK,"I/O Error on Drive sda",REPLACE,
12/16/2003 9:00,dtemp storage 30,HSV,"73gig Drive Failed ",REPLACE,
12/16/2003 10:00,node 208,DISK,"I/O Error on Drive sdh",REPLACE,
12/16/2003 10:00,node 539,DIMM,"CMC Error ",NONE,
12/16/2003 10:00,node 827,UNKNOWN,"CMC Error ",NONE,
12/17/2003 6:00,node 57,DISK,"I/O Error on Drive sdh",REPLACE,
12/17/2003 6:00,node 60,DISK,"I/O Error on Drive sdg",REPLACE,
12/17/2003 6:00,node 69,DISK,"I/O Error on Drive sdf",REPLACE,
12/17/2003 6:00,node 125,UNKNOWN,"CMC Error ",NONE,
12/17/2003 6:00,node 154,DISK,"I/O Error on Drive sdi",REPLACE,
12/17/2003 8:00,node 228,DISK,"I/O error on Drive sdc",REPLACE,
12/17/2003 8:00,node 238,DISK,"I/O Error on Drive sdc",REPLACE,
12/17/2003 5:00,node 293,CPU,"CMC Error ",REPLACE,
12/17/2003 5:00,node 321,CPU,"CMC Error ",REPLACE,
12/18/2003 9:00,node 392,DISK,"I/O Error on Drive sde",REPLACE,
12/18/2003 9:00,node 392,DISK,"I/O Error on Drive sde",REPLACE,
12/18/2003 9:00,node 415,DISK,"I/O Error on Drive sdd",REPLACE,
12/18/2003 9:00,node 484,DISK,"I/O error on Drive sdi",REPLACE,
12/18/2003 9:30,node 531,CABLE,"I/O Error on upper DS2100 drives ",REPLACE,
12/18/2003 10:05,node 587,CPU,"CMC Error ",REPLACE,
12/18/2003 10:05,node 735,UNKNOWN,"CMC Error ",NONE,
12/18/2003 10:05,node 741,DISK,"I/O Error on Drive sdc",REPLACE,
12/19/2003 7:05,node 893,DISK,"I/O Error on Drive sdb",REPLACE,
12/19/2003 7:05,node 900,DISK,"I/O Error on Drive sdb",REPLACE,
12/19/2003 7:05,node 910,DISK,"I/O Error on Drive sda",REPLACE,
12/22/2003 7:35,dtemp storage 19,HSV,"73gig Drive failed ",REPLACE,
12/22/2003 7:35,dtemp storage 24,HSV,"73gig Drive Failed",REPLACE,
12/22/2003 7:35,dtemp storage 32,HSV,"73gig Drive Failed ",REPLACE,
12/22/2003 8:05,node 588,CPU,"CMC Error ",REPLACE,
12/22/2003 8:05,node 710,DIMM,"CMC Error ",NONE,
12/22/2003 8:05,node 895,DISK,"I/O Error on Drive sdb",REPLACE,
12/22/2003 8:05,node 919,DIMM,"CMC Error ",NONE,
12/23/2003 7:05,dtemp storage 27,HSV,"73gig Drive failure",REPLACE,
12/23/2003 8:05,node 54,PLATFORM,"LED ERROR ",REPLACE,
12/23/2003 8:05,node 125,DISK,"I/O error on Drive sdi",REPLACE,
12/23/2003 8:05,node 189,DISK,"I/O error on Drive sdc",REPLACE,
12/23/2003 8:05,node 256,DISK,"I/O error on Drive sdf",REPLACE,
12/23/2003 8:05,node 360,UNKNOWN,"LED ERROR ",UPDATE_FW,
12/23/2003 8:05,node 362,DISK,"I/O Error on Drive sdg",REPLACE,
12/23/2003 8:05,node 568,FAN,"LED ERROR ",REPLACE,
12/23/2003 8:05,node 735,CPU,"CMC Error ",REPLACE,
12/23/2003 8:05,node 778,MISC,"LED ERROR ",REBOOT,
12/23/2003 8:05,node 816,DIMM,"CMC Error ",NONE,
12/24/2003 7:00,node 3,DISK,"I/O error on Drive sdg",REPLACE,
12/24/2003 7:30,node 94,DISK,"I/O Error on Drive sdi",REPLACE,
12/24/2003 7:30,node 105,DISK,"I/O error on Drive sde",REPLACE,
12/24/2003 7:30,node 189,UNKNOWN,"CMC Error ",NONE,
12/24/2003 7:30,node 213,DISK,"I/O error on Drive sdi",REPLACE,
12/24/2003 8:00,node 250,DISK,"I/O error on drive sdh",REPLACE,
12/23/2003 8:05,node 300,DIMM,"CMC Errro ",NONE,
12/23/2003 8:35,node 309,UNKNOWN,"CMC Error ",NONE,
12/23/2003 9:05,node 334,UNKNOWN,"CMC Error ",NONE,
12/25/2003 6:00,node 385,PS,"Power Error ",REPLACE,
12/25/2003 6:00,node 427,DISK,"I/O error on Drive sdc",REPLACE,
12/25/2003 7:00,node 464,DISK,"I/O error on Drive sdh",REPLACE,
12/25/2003 7:00,node 471,DIMM,"CMC Error ",NONE,
12/25/2003 7:00,node 503,DISK,"I/O Error on Drive sdh",REPLACE,
12/25/2003 7:00,node 513,DISK,"I/O error on Drive sdg",REPLACE,
12/25/2003 7:30,node 537,DISK,"I/O error on Drive sde",REPLACE,
12/25/2003 7:30,node 577,DIMM,"CMC Error ",NONE,
12/26/2003 7:30,node 581,CPU,"CMC Error ",REPLACE,
12/26/2003 7:30,node 591,PS,"LED Error, pointing to Power Supply",REPLACE,
12/26/2003 8:00,node 777,PS,"LED Error ",REPLACE,
12/29/2003 6:30,node 869,CPU,"CMC Error ",REPLACE,
12/29/2003 6:30,node 901,FAN,"LED ERROR, FAN#2",REPLACE,
12/29/2003 7:00,node 911,DISK,"I/O error on Drive sda",REPLACE,
12/29/2003 7:30,node 916,DISK,"I/O error on Drive sdb",REPLACE,
12/29/2003 8:00,node 885,DISK,"I/O error on Drive sdb",REPLACE,
12/29/2003 8:30,dtemp storage 04,HSV,"73gig Drive Failure",REPLACE,
12/29/2003 8:30,dtemp storage 14,HSV,"73gig Drive Failure",REPLACE,
12/29/2003 8:30,dtemp storage 16,HSV,"73gig Drive Failure",REPLACE,
1/1/2004 5:00,node 0,DISK,"I/O Error on Drive sdb",REPLACE,
1/1/2004 5:00,node 24,DISK,"I/O error on Drive sdg ",REPLACE,
1/1/2004 7:00,node 40,DIMM,"CMC Error ",NONE,
1/1/2004 7:00,node 85,CPU,"CMC Error ",REPLACE,
1/1/2004 7:00,node 98,DIMM,"CMC Error ",NONE,
1/1/2004 7:30,node 169,DISK,"I/O Error on Drive sdg",REPLACE,
1/1/2004 8:00,node 173,DISK,"I/O Error on Drive sdb",REPLACE,
1/1/2004 8:00,node 176,DISK,"I/O Error on Drive sdg",REPLACE,
1/2/2004 8:00,node 239,CPU,"CMC Error ",REPLACE,
1/2/2004 8:00,node 328,APPL,"Won't POST",UPDATE_FW,
1/2/2004 8:30,node 352,DISK,"I/O error on drive sdi",REPLACE,
1/2/2004 8:30,node 374,DIMM,"CMC Error ",NONE,
1/2/2004 9:00,node 421,DISK,"I/O Error on Drive sdh",REPLACE,
1/2/2004 9:00,node 428,DISK,"I/O error on Drive sda",REPLACE,
1/2/2004 9:30,node 432,DIMM,"CMC Error ",NONE,
1/2/2004 9:30,node 453,DISK,"I/O error on Drive sdh",REPLACE,
1/5/2004 6:30,node 473,DISK,"I/O error on Drive sdh",REPLACE,
1/5/2004 6:30,node 522,DIMM,"CMC Error ",NONE,
1/5/2004 6:30,node 526,CPU,"CMC Error ",REPLACE,
1/6/2004 6:30,node 531,DISK,"I/O Error on Drive sdc",REPLACE,
1/6/2004 6:30,node 773,DISK,"I/O Error on Drive sdb",REPLACE,
1/6/2004 6:30,node 869,DISK,"I/O error on Drive sdb",REPLACE,
1/6/2004 6:30,node 902,FAN,"Fan Error ",REPLACE,
1/6/2004 7:00,node 911,DISK,"I/O error on Drive sdb",REPLACE,
1/6/2004 7:00,node 923,DISK,"I/O Error on Drive sdb",REPLACE,
1/6/2004 7:30,node 928,DISK,"I/O Error on Drive sdb",REPLACE,
1/7/2004 8:00,dtemp storage 07,HSV,"73gig Drive Failure ",REPLACE,
1/7/2004 8:45,dtemp storage 11,HSV,"73gig Drive Failure ",REPLACE,
1/7/2004 10:20,node 512,DISK,"I/O Error on Drive sdb ",REPLACE,
1/7/2004 10:20,node 548,DISK,"I/O Error on Drive sdh",REPLACE,
1/7/2004 10:20,node 559,DISK,"I/O Error on Drive sde",REPLACE,
1/7/2004 10:20,node 662,UNKNOWN,"CMC Error ",NONE,
1/7/2004 10:20,node 717,UNKNOWN,"LED ERROR ",REBOOT,
1/7/2004 10:20,node 724,UNKNOWN,"LED ERROR ",REBOOT,
1/7/2004 10:20,node 734,UNKNOWN,"LED ERROR ",REBOOT,
1/7/2004 10:20,node 735,MISC,"LED ERROR ",REBOOT,
1/10/2004 10:20,quadrics switch 1N05,ELAN4,"New Cable Run ",REPLACE,
1/8/2004 9:20,node 551,DISK,"I/O Error on Drive sdh",REPLACE,
1/8/2004 7:20,node 41,DISK,"I/O Error on Drive sdg ",REPLACE,
1/8/2004 7:20,node 117,PLATFORM,"MCA ERROR ",REPLACE,
1/8/2004 7:20,node 190,DISK,"I/O error on Drive sdc",REPLACE,
1/8/2004 7:20,node 238,DISK,"I/O Error on Drive sdb",REPLACE,
1/8/2004 7:20,node 514,SCSI_BP,"I/O Error across RAID",REPLACE,
1/8/2004 7:20,node 553,DISK,"I/O Error on Drive sdh",REPLACE,
1/8/2004 7:20,node 604,PLATFORM,"System keeps crashing ",REPLACE,
1/9/2004 7:20,node 839,UNKNOWN,"CMC ERROR ",NONE,
1/9/2004 8:20,node 0,DISK,"I/O Error on Drive sdh",REPLACE,
1/9/2004 8:20,node 64,DISK,"I/O Error on Drive sdi",REPLACE,
1/9/2004 8:20,node 224,DIMM,"CMC ERROR ",NONE,
1/9/2004 8:20,node 238,DISK,"I/O Error on Drive sda",REPLACE,
1/9/2004 8:20,node 340,DISK,"I/O Error on Drive sdh",REPLACE,
1/9/2004 8:20,node 363,DISK,"I/O Error on Drive sdi ",REPLACE,
1/9/2004 8:20,node 511,DISK,"I/O Error on Drives  sdg sdh ",REPLACE,
1/9/2004 8:20,node 555,PLATFORM,"Auto Config Out ",REPLACE,
1/11/2004 7:20,node 39,DISK,"I/O Error on Drive sdi",REPLACE,
1/11/2004 7:20,node 43,DIMM,"CMC ERROR ",REPLACE,
1/11/2004 7:50,node 82,DISK,"I/O Error on Drive sdg ",REPLACE,
1/11/2004 8:20,node 83,DISK,"I/O error on Drive sdg ",REPLACE,
1/11/2004 8:20,node 286,DISK,"I/O error on Drive sdi ",REPLACE,
1/11/2004 8:23,node 300,DISK,"I/O Error on Drive sdd ",REPLACE,
1/11/2004 8:53,node 405,DISK,"I/O error on Drive sdh ",REPLACE,
1/12/2004 6:05,node 411,DISK,"I/O error on Drive sdf ",REPLACE,
1/12/2004 6:05,node 514,PLATFORM,"Hard Crash ",REPLACE,
1/12/2004 8:05,node 531,DIMM,"CMC Error ",NONE,
1/12/2004 8:35,node 895,CPU,"CMC Error ",REPLACE,
1/12/2004 9:20,node 907,DISK,"I/O Error on Drive sda",REPLACE,
1/12/2004 6:50,node 426,DISK,"I/O Error on Drive sdf",REPLACE,
1/12/2004 6:50,node 434,DISK,"I/O Error on Drive sdg",REPLACE,
1/12/2004 6:50,node 472,DISK,"I/O error on Drive sde",REPLACE,
1/12/2004 6:50,node 537,PS,"Lost Power ",REPLACE,
1/12/2004 6:50,node 692,UNKNOWN,"CMC Error ",NONE,
1/12/2004 6:50,node 736,DISK,"I/O Error on Drive ",REPLACE,
1/12/2004 6:50,node 762,DISK,"I/O Error on Drive ",REPLACE,
1/14/2004 6:50,node 500,DISK,"I/O Error on Drive sdf",REPLACE,
1/14/2004 7:50,node 899,DISK,"I/O error on Drive sdb",REPLACE,
1/14/2004 8:20,node 917,DISK,"I/O Error on Drive sda",REPLACE,
1/14/2004 10:41,test node 6,DISK,"I/O Error on Drive sdh ",REPLACE,
1/14/2004 11:11,test node 7,DISK,"I/O Error on Drive sda",REPLACE,
1/14/2004 11:41,node 79,ELAN4,"ELAN4 Error ",REPLACE,
1/14/2004 11:41,node 514,ELAN4,"System Crashed ",REPLACE,
1/15/2004 5:30,node 19,DISK,"I/O Error on Drive sdi",REPLACE,
1/15/2004 5:30,node 211,DISK,"I/O Error on Drive sde ",REPLACE,
1/15/2004 5:30,node 246,DISK,"I/O Error on Drive sdi ",REPLACE,
1/15/2004 9:00,node 476,DISK,"I/O Error on Drive sdi",REPLACE,
1/15/2004 9:00,node 553,DISK,"I/O Error on Drive sdh",REPLACE,
1/15/2004 9:30,node 873,ELAN4,"POSTing ISSUE ",REPLACE,
1/15/2004 10:15,node 899,DISK,"I/O Error on Drive sdb",REPLACE,
1/15/2004 10:45,node 72,PLATFORM,"Slow Operation ",REPLACE,
1/15/2004 10:45,node 780,DIMM,"CMC Error ",NONE,
1/15/2004 10:45,node 922,DISK,"I/O Error on Drive sda",REPLACE,
1/16/2004 7:45,node 164,DIMM,"CMC ERROR ",NONE,
1/16/2004 8:15,node 271,DISK,"I/O Error on Drive sdg",REPLACE,
1/16/2004 8:45,node 278,DISK,"I/O Error on Drive sdg ",REPLACE,
1/16/2004 9:15,dtemp storage 27,HSV,"Fan Failure on disk tray",REPLACE,
1/16/2004 9:45,dtemp storage 21,HSV,"power supply failure",REPLACE,
1/16/2004 10:20,quadrics switch 1N01,ELAN4,"Diags ",RESET,
1/16/2004 9:05,node 105,DISK,"I/O error on Drive sde",REPLACE,
1/16/2004 9:05,node 630,CPU,"CMC ERROR ",REPLACE,
1/16/2004 9:05,node 894,DISK,"I/O error on Drive sdb",REPLACE,
1/19/2004 6:05,node 94,DISK,"I/O Error on Drive sdh ",REPLACE,
1/19/2004 6:05,node 101,DISK,"I/O Error on Drive sdh",REPLACE,
1/19/2004 8:10,node 107,DISK,"I/O error on Drive sdh",REPLACE,
1/19/2004 8:40,node 122,DISK,"I/O Error on Drive  sdg ",REPLACE,
1/19/2004 9:10,node 159,DISK,"I/O Error on Drive sdh",REPLACE,
1/19/2004 9:40,node 165,DISK,"I/O Error on Drive sdc ",REPLACE,
1/20/2004 7:00,node 188,DISK,"I/O error on Drive sdh",REPLACE,
1/20/2004 7:00,node 214,ELAN4,"ELAN4 Errors ",NONE,
1/20/2004 8:00,node 305,DISK,"I/O Error on Drive sdi ",REPLACE,
1/20/2004 8:30,node 313,DISK,"I/O Error on Drive sde ",REPLACE,
1/20/2004 9:00,node 336,DISK,"I/O Error on Drive sdh ",REPLACE,
1/20/2004 9:30,node 365,DISK,"I/O Error on Drive sdh ",REPLACE,
1/20/2004 10:00,node 429,DISK,"I/O Error on Drive sdg",REPLACE,
1/20/2004 10:30,node 445,DISK,"I/O Error on Drive sdi",REPLACE,
1/20/2004 11:00,node 475,DISK,"I/O error on Drive sdh",REPLACE,
1/21/2004 7:00,node 497,DISK,"I/O Error on Drive sdf ",REPLACE,
1/21/2004 7:30,node 558,DIMM,"CMC Error ",REPLACE,
1/21/2004 8:00,node 863,DISK,"I/O Error on Drive sdb ",REPLACE,
1/21/2004 8:30,node 866,DISK,"I/O Error on Drive sdb ",REPLACE,
1/21/2004 9:00,node 898,DISK,"I/O Error on Drive sdb",REPLACE,
1/21/2004 9:30,node 914,DISK,"I/O Error on Drive sdb",REPLACE,
1/21/2004 10:00,node 878,FAN,"Fan #2 Failure ",REPLACE,
1/21/2004 10:00,node 921,DISK,"I/O Error on Drive sdb",REPLACE,
1/22/2004 7:00,node 50,DISK,"I/O Error on Drive sdc ",REPLACE,
1/22/2004 7:00,node 88,DISK,"I/O Error on Drive sdh",REPLACE,
1/22/2004 7:45,node 500,DISK,"I/O Error on Drives sdc sdd sde",REPLACE,
1/23/2004 7:45,node 22,PS,"Lost Power ",REPLACE,
1/26/2004 7:15,node 387,DISK,"I/O Error on Drive sdd ",REPLACE,
1/26/2004 7:15,node 443,DISK,"I/O Error on Drive sdg",REPLACE,
1/26/2004 7:45,node 451,DISK,"I/O Error on Drive sde ",REPLACE,
1/26/2004 8:15,node 460,CPU,"CMC Error ",REPLACE,
1/26/2004 7:15,node 905,DISK,"I/O Error on Drive sdb",REPLACE,
1/26/2004 7:15,node 108,DISK,"I/O Error on Drive sdi",REPLACE,
1/26/2004 7:15,node 222,DISK,"I/O Error on Drive sdh",REPLACE,
1/26/2004 7:15,node 233,ELAN4,"ELAN4 Disconnect",MISC,
1/26/2004 7:15,node 568,DISK,"I/O Error on Drive sdd",REPLACE,
1/26/2004 7:15,node 882,DISK,"I/O Error on Drive sdb",REPLACE,
1/27/2004 7:15,node 42,DISK,"I/O Error on Drive sdi",REPLACE,
1/27/2004 7:45,node 49,DISK,"I/O error on Drive sdf",REPLACE,
1/27/2004 7:15,dtemp storage 04,HSV,"73gig Drive Failure ",REPLACE,
1/27/2004 7:15,node 818,UNKNOWN,"CMC Error ",NONE,
1/28/2004 7:15,node 198,DISK,"I/O Error on Drive sdi",REPLACE,
1/28/2004 7:15,node 568,DISK,"I/O Error on Drive sde",REPLACE,
1/28/2004 8:46,node 516,DISK,"I/O Error on Drive sdg",REPLACE,
1/29/2004 6:46,node 27,DISK,"I/O Error on Drive sdi",REPLACE,
1/29/2004 6:46,node 96,CPU,"MCA ERROR ",REPLACE,
1/29/2004 6:46,node 169,DISK,"I/O Error on Drive sdc  ",REPLACE,
1/29/2004 6:46,node 169,OS,"Wrong Swap Size ",REENTER,
1/29/2004 6:46,node 298,CNTLR,"MCA ERROR ",REPLACE,
1/29/2004 6:46,node 348,CPU,"MCA ERROR ",REPLACE,
1/29/2004 6:46,node 419,DISK,"I/O Error on Drive sdc, sdd ",REPLACE,
1/29/2004 10:16,node 596,CPU,"MCA ERROR ",REPLACE,
1/29/2004 10:46,node 856,CPU,"MCA ERROR ",REPLACE,
1/29/2004 11:16,node 948,PLATFORM,"MCA ERROR ",REPLACE,
1/29/2004 12:16,home storage TEST,HSV,"2 73gig Drives Failed ",REPLACE,
1/29/2004 13:16,node 72,PLATFORM,"Wrong MEM Size (needs Firmware Flashed) ",REPLACE,
1/29/2004 13:16,node 117,OS,"Wrong MEM Size (needs Firmware Flashed)",UPDATE_FW,
1/29/2004 13:16,node 461,OS,"Wrong MEM Size (needs Firmware Flashed)",UPDATE_FW,
1/29/2004 13:16,node 555,OS,"Wrong MEM Size (needs Firmware Flashed)",UPDATE_FW,
1/29/2004 13:16,node 566,DISK,"I/O Error on Drive sde",REPLACE,
1/29/2004 13:16,node 584,OS,"Wrong MEM Size (needs Firmware Flashed)",UPDATE_FW,
1/29/2004 13:16,node 856,OS,"Wrong SWAP Size (needs Firmware Flashed)",UPDATE_FW,
1/30/2004 8:00,node 298,PLATFORM,"LSF won't open ",REPLACE,
1/29/2004 8:00,node 514,OS,"Wrong MEM Size (needs Firmware Flashed)",UPDATE_FW,
1/30/2004 8:00,node 516,OS,"Wrong SWAP Size (needs Firmware Flashed)",UPDATE_SW,
1/30/2004 8:30,dtemp storage 03,HSV,"73gig Drive Failure ",REPLACE,
1/30/2004 8:30,node 76,DIMM,"CMC ERROR ",REPLACE,
2/1/2004 7:30,node 75,CPU,"CMC ERROR ",REPLACE,
2/1/2004 7:30,node 78,DISK,"I/O Error on Drive sdg ",REPLACE,
2/1/2004 7:30,node 249,DISK,"I/O Error on Drive sdi",REPLACE,
2/1/2004 7:30,node 271,DISK,"I/O Error on Drive sda",REPLACE,
2/1/2004 7:30,node 390,DISK,"I/O Error on Drive sdi",REPLACE,
2/1/2004 7:30,node 508,DISK,"I/O Error on Drive sdg",REPLACE,
2/1/2004 7:30,node 568,CABLE,"I/O Error on Upper RAID (sdd,sde,sdf) ",REPLACE,
